iter	Passed	Remaining
0	266	266252
1	362	181038
2	445	148182
3	515	128423
4	615	122536
5	705	116946
6	782	111027
7	856	106218
8	943	103891
9	1037	102694
10	1123	100978
11	1203	99089
12	1279	97110
13	1362	95931
14	1443	94769
15	1524	93783
16	1600	92537
17	1685	91953
18	1773	91558
19	1854	90885
20	1938	90374
21	2038	90624
22	2139	90885
23	2233	90811
24	2338	91220
25	2438	91359
26	2531	91241
27	2629	91281
28	2725	91257
29	2818	91120
30	2932	91678
31	3039	91930
32	3152	92381
33	3273	92996
34	3390	93470
35	3505	93857
36	3632	94543
37	3744	94807
38	3862	95170
39	3966	95195
40	4085	95555
41	4177	95281
42	4267	94979
43	4368	94909
44	4475	94972
45	4567	94729
46	4666	94615
47	4769	94599
48	4892	94949
49	4970	94433
50	5051	93992
51	5131	93554
52	5204	93000
53	5277	92458
54	5355	92023
55	5425	91463
56	5502	91039
57	5582	90662
58	5662	90319
59	5737	89894
60	5808	89418
61	5882	88996
62	5949	88484
63	6020	88051
64	6099	87737
65	6238	88289
66	6318	87984
67	6402	87745
68	6480	87437
69	6558	87139
70	6638	86865
71	6723	86660
72	6810	86486
73	6893	86257
74	6971	85979
75	7053	85757
76	7136	85542
77	7216	85303
78	7297	85074
79	7385	84930
80	7469	84746
81	7554	84579
82	7632	84330
83	7721	84199
84	7802	83991
85	7886	83818
86	7969	83635
87	8037	83294
88	8103	82945
89	8173	82645
90	8251	82422
91	8332	82236
92	8414	82059
93	8488	81810
94	8556	81515
95	8627	81243
96	8701	81005
97	8773	80754
98	8845	80504
99	8912	80211
100	9001	80126
101	9100	80116
102	9189	80030
103	9279	79945
104	9368	79853
105	9454	79736
106	9537	79598
107	9628	79526
108	9709	79369
109	9792	79229
110	9874	79084
111	9959	78961
112	10047	78869
113	10144	78839
114	10234	78758
115	10321	78655
116	10405	78530
117	10501	78492
118	10588	78390
119	10667	78226
120	10746	78064
121	10830	77943
122	10909	77786
123	11002	77725
124	11094	77661
125	11186	77592
126	11339	77950
127	11441	77947
128	11532	77867
129	11619	77760
130	11699	77611
131	11777	77446
132	11863	77335
133	11937	77150
134	12013	76972
135	12082	76762
136	12154	76565
137	12221	76342
138	12292	76144
139	12359	75920
140	12433	75748
141	12498	75521
142	12573	75353
143	12657	75239
144	12726	75042
145	12794	74841
146	12867	74665
147	12934	74460
148	13009	74304
149	13079	74116
150	13145	73908
151	13215	73727
152	13284	73544
153	13355	73370
154	13429	73210
155	13492	73000
156	13559	72806
157	13627	72624
158	13701	72471
159	13778	72334
160	13848	72169
161	13919	72004
162	13988	71829
163	14062	71683
164	14142	71569
165	14223	71459
166	14304	71351
167	14392	71276
168	14479	71200
169	14565	71115
170	14647	71012
171	14729	70909
172	14819	70841
173	14909	70777
174	15006	70744
175	15111	70750
176	15219	70765
177	15319	70746
178	15425	70750
179	15522	70712
180	15615	70657
181	15717	70642
182	15812	70596
183	15901	70519
184	15992	70455
185	16088	70408
186	16173	70314
187	16256	70216
188	16391	70335
189	16472	70225
190	16553	70112
191	16642	70038
192	16723	69928
193	16806	69826
194	16894	69744
195	16979	69650
196	17064	69557
197	17142	69434
198	17217	69304
199	17294	69177
200	17362	69017
201	17439	68893
202	17510	68749
203	17581	68601
204	17648	68440
205	17718	68292
206	17788	68147
207	17861	68009
208	17929	67856
209	18001	67718
210	18066	67557
211	18141	67430
212	18323	67701
213	18439	67724
214	18547	67721
215	18653	67706
216	18753	67667
217	18853	67629
218	18958	67610
219	19064	67594
220	19181	67613
221	19300	67639
222	19476	67860
223	19596	67888
224	19713	67903
225	19816	67868
226	19922	67841
227	20005	67739
228	20097	67665
229	20189	67589
230	20281	67517
231	20420	67598
232	20526	67569
233	20640	67568
234	20729	67482
235	20818	67395
236	20904	67301
237	20992	67211
238	21150	67344
239	21265	67341
240	21352	67247
241	21433	67135
242	21517	67031
243	21612	66962
244	21704	66884
245	21784	66771
246	21872	66680
247	21951	66561
248	22107	66676
249	22195	66586
250	22278	66479
251	22352	66346
252	22429	66223
253	22509	66110
254	22655	66189
255	22741	66091
256	22830	66003
257	22913	65898
258	22991	65779
259	23067	65653
260	23141	65523
261	23233	65444
262	23338	65400
263	23435	65334
264	23514	65219
265	23598	65118
266	23682	65014
267	23765	64910
268	23846	64802
269	23926	64691
270	24005	64576
271	24084	64461
272	24162	64345
273	24247	64246
274	24334	64154
275	24428	64081
276	24529	64024
277	24621	63944
278	24712	63862
279	24809	63796
280	24903	63720
281	24992	63634
282	25081	63546
283	25169	63456
284	25250	63346
285	25320	63213
286	25390	63079
287	25465	62956
288	25542	62838
289	25616	62716
290	25690	62593
291	25769	62483
292	25846	62367
293	25923	62252
294	25998	62132
295	26070	62004
296	26143	61882
297	26215	61757
298	26287	61629
299	26372	61536
300	26455	61435
301	26546	61356
302	26625	61247
303	26703	61137
304	26788	61043
305	26885	60974
306	26978	60898
307	27058	60793
308	27136	60683
309	27214	60573
310	27292	60465
311	27367	60348
312	27447	60244
313	27524	60132
314	27609	60039
315	27682	59919
316	27753	59797
317	27829	59685
318	27908	59579
319	27989	59478
320	28080	59398
321	28258	59501
322	28350	59421
323	28429	59315
324	28518	59230
325	28592	59114
326	28670	59007
327	28743	58889
328	28817	58774
329	28883	58642
330	28960	58533
331	29046	58443
332	29126	58340
333	29199	58224
334	29275	58113
335	29364	58029
336	29455	57948
337	29533	57843
338	29612	57740
339	29693	57640
340	29777	57546
341	29850	57432
342	29920	57310
343	29992	57195
344	30066	57083
345	30150	56989
346	30228	56886
347	30304	56777
348	30380	56669
349	30453	56556
350	30538	56466
351	30615	56359
352	30693	56256
353	30781	56171
354	30859	56068
355	30935	55961
356	31016	55863
357	31092	55758
358	31172	55658
359	31251	55558
360	31333	55462
361	31417	55371
362	31501	55278
363	31579	55177
364	31663	55086
365	31739	54980
366	31817	54878
367	31898	54781
368	31979	54686
369	32057	54584
370	32138	54488
371	32216	54387
372	32289	54277
373	32365	54173
374	32440	54067
375	32514	53960
376	32598	53869
377	32673	53764
378	32754	53668
379	32838	53577
380	32906	53462
381	32983	53360
382	33063	53263
383	33143	53167
384	33215	53058
385	33296	52964
386	33372	52860
387	33503	52845
388	33589	52759
389	33667	52658
390	33743	52556
391	33820	52456
392	33898	52356
393	33972	52251
394	34043	52142
395	34114	52033
396	34186	51924
397	34261	51823
398	34332	51714
399	34408	51613
400	34498	51532
401	34576	51434
402	34654	51337
403	34732	51238
404	34811	51143
405	34889	51045
406	34974	50958
407	35058	50869
408	35140	50777
409	35219	50681
410	35294	50580
411	35373	50484
412	35452	50388
413	35534	50297
414	35613	50201
415	35697	50113
416	35777	50020
417	35864	49935
418	35941	49838
419	36021	49744
420	36098	49646
421	36187	49564
422	36293	49507
423	36389	49434
424	36476	49350
425	36549	49248
426	36627	49151
427	36704	49053
428	36778	48951
429	36850	48848
430	36923	48745
431	36993	48639
432	37072	48545
433	37153	48453
434	37244	48375
435	37331	48290
436	37418	48207
437	37503	48120
438	37579	48023
439	37662	47933
440	37757	47859
441	37847	47780
442	37936	47699
443	38015	47604
444	38097	47514
445	38176	47421
446	38248	47318
447	38323	47219
448	38397	47120
449	38478	47029
450	38562	46941
451	38689	46906
452	38774	46819
453	38862	46737
454	38953	46658
455	39036	46569
456	39122	46484
457	39214	46407
458	39296	46317
459	39377	46226
460	39458	46134
461	39548	46053
462	39626	45960
463	39702	45863
464	39782	45771
465	39859	45676
466	39937	45581
467	40018	45491
468	40114	45417
469	40206	45339
470	40302	45265
471	40401	45194
472	40483	45105
473	40557	45006
474	40633	44910
475	40710	44815
476	40788	44722
477	40861	44622
478	40940	44530
479	41006	44423
480	41079	44325
481	41155	44229
482	41241	44144
483	41326	44058
484	41411	43972
485	41489	43879
486	41560	43779
487	41633	43681
488	41705	43581
489	41780	43485
490	41860	43395
491	41944	43308
492	42018	43211
493	42089	43111
494	42169	43021
495	42241	42922
496	42310	42821
497	42383	42724
498	42448	42618
499	42522	42522
500	42605	42435
501	42686	42346
502	42760	42250
503	42839	42159
504	42913	42064
505	42991	41971
506	43075	41885
507	43155	41796
508	43235	41706
509	43315	41616
510	43392	41524
511	43478	41440
512	43553	41346
513	43641	41264
514	43784	41233
515	43866	41146
516	43944	41054
517	44033	40973
518	44118	40888
519	44206	40805
520	44292	40721
521	44376	40636
522	44462	40551
523	44545	40465
524	44630	40379
525	44712	40292
526	44793	40203
527	44876	40116
528	44964	40034
529	45049	39949
530	45136	39866
531	45229	39788
532	45307	39697
533	45388	39608
534	45477	39527
535	45565	39444
536	45641	39352
537	45717	39259
538	45797	39170
539	45874	39078
540	45959	38993
541	46025	38892
542	46098	38797
543	46173	38704
544	46242	38606
545	46317	38513
546	46391	38419
547	46470	38330
548	46559	38248
549	46633	38154
550	46711	38064
551	46791	37975
552	46871	37886
553	46955	37801
554	47034	37712
555	47103	37615
556	47179	37523
557	47255	37431
558	47330	37339
559	47401	37243
560	47484	37158
561	47567	37071
562	47643	36981
563	47731	36898
564	47825	36821
565	47911	36737
566	47991	36649
567	48070	36560
568	48155	36476
569	48235	36388
570	48313	36298
571	48388	36206
572	48460	36112
573	48531	36018
574	48604	35924
575	48679	35833
576	48756	35743
577	48831	35652
578	48912	35565
579	48988	35474
580	49062	35382
581	49160	35307
582	49299	35262
583	49383	35177
584	49463	35089
585	49534	34995
586	49604	34900
587	49679	34809
588	49747	34713
589	49832	34629
590	49904	34536
591	49991	34453
592	50069	34364
593	50144	34273
594	50218	34182
595	50292	34091
596	50378	34007
597	50457	33919
598	50542	33835
599	50622	33748
600	50706	33664
601	50793	33580
602	50875	33495
603	50953	33406
604	51033	33319
605	51114	33232
606	51193	33144
607	51273	33058
608	51351	32969
609	51422	32876
610	51499	32787
611	51581	32701
612	51660	32614
613	51746	32530
614	51829	32445
615	51910	32359
616	51990	32272
617	52073	32187
618	52150	32099
619	52222	32007
620	52294	31915
621	52370	31826
622	52446	31737
623	52520	31646
624	52598	31559
625	52674	31470
626	52750	31381
627	52825	31291
628	52897	31200
629	52970	31109
630	53045	31019
631	53115	30927
632	53186	30836
633	53264	30749
634	53343	30662
635	53421	30574
636	53494	30484
637	53568	30394
638	53641	30304
639	53713	30213
640	53797	30130
641	53880	30045
642	53950	29953
643	54029	29867
644	54106	29779
645	54189	29694
646	54261	29604
647	54347	29522
648	54422	29433
649	54554	29375
650	54637	29290
651	54716	29204
652	54797	29119
653	54876	29032
654	54953	28945
655	55033	28859
656	55113	28772
657	55191	28686
658	55281	28605
659	55359	28518
660	55442	28434
661	55524	28349
662	55610	28266
663	55692	28181
664	55776	28097
665	55851	28009
666	55929	27922
667	56007	27836
668	56089	27751
669	56164	27663
670	56239	27575
671	56318	27488
672	56384	27396
673	56456	27306
674	56532	27219
675	56609	27132
676	56690	27047
677	56772	26962
678	56849	26875
679	56925	26788
680	56997	26699
681	57069	26610
682	57144	26522
683	57215	26432
684	57297	26348
685	57382	26265
686	57465	26181
687	57551	26099
688	57629	26012
689	57700	25923
690	57781	25838
691	57873	25758
692	57968	25680
693	58057	25599
694	58142	25515
695	58253	25444
696	58416	25394
697	58546	25330
698	58692	25274
699	58817	25207
700	58938	25139
701	59060	25071
702	59203	25012
703	59338	24948
704	59460	24880
705	59557	24801
706	59650	24720
707	59740	24638
708	59827	24555
709	59942	24483
710	60032	24401
711	60115	24316
712	60278	24263
713	60386	24188
714	60480	24107
715	60564	24022
716	60642	23935
717	60716	23847
718	60790	23758
719	60861	23668
720	60933	23578
721	61005	23489
722	61079	23401
723	61152	23312
724	61225	23223
725	61300	23135
726	61372	23046
727	61448	22958
728	61522	22870
729	61600	22783
730	61670	22693
731	61748	22607
732	61830	22522
733	61901	22432
734	61975	22344
735	62050	22257
736	62128	22170
737	62197	22081
738	62268	21991
739	62338	21902
740	62403	21811
741	62476	21723
742	62549	21635
743	62625	21548
744	62712	21465
745	62795	21380
746	62889	21300
747	62974	21216
748	63067	21134
749	63146	21048
750	63221	20961
751	63306	20877
752	63385	20791
753	63472	20708
754	63559	20625
755	63640	20540
756	63723	20455
757	63807	20371
758	63916	20295
759	63995	20209
760	64080	20125
761	64160	20039
762	64240	19954
763	64321	19868
764	64398	19782
765	64470	19694
766	64541	19606
767	64613	19518
768	64681	19429
769	64749	19340
770	64830	19255
771	64906	19169
772	64981	19082
773	65055	18995
774	65130	18908
775	65205	18822
776	65282	18736
777	65355	18648
778	65502	18582
779	65582	18497
780	65653	18409
781	65731	18324
782	65799	18235
783	65873	18148
784	65944	18061
785	66013	17973
786	66087	17886
787	66159	17799
788	66238	17713
789	66310	17626
790	66383	17540
791	66458	17453
792	66543	17370
793	66615	17283
794	66692	17197
795	66770	17112
796	66849	17026
797	66928	16941
798	67008	16857
799	67086	16771
800	67162	16685
801	67238	16600
802	67316	16514
803	67399	16430
804	67479	16346
805	67568	16263
806	67652	16179
807	67749	16098
808	67830	16014
809	67910	15929
810	67995	15846
811	68093	15765
812	68190	15684
813	68294	15605
814	68403	15527
815	68515	15449
816	68609	15367
817	68692	15283
818	68770	15198
819	68845	15112
820	68920	15026
821	68994	14940
822	69081	14857
823	69187	14777
824	69276	14695
825	69364	14611
826	69465	14531
827	69560	14449
828	69660	14369
829	69762	14288
830	69851	14205
831	69938	14122
832	70031	14039
833	70117	13956
834	70211	13874
835	70297	13790
836	70376	13705
837	70467	13622
838	70573	13542
839	70672	13461
840	70755	13377
841	70829	13291
842	70918	13207
843	71015	13126
844	71107	13043
845	71192	12959
846	71287	12877
847	71390	12796
848	71481	12713
849	71575	12630
850	71659	12546
851	71835	12478
852	71951	12399
853	72049	12317
854	72154	12236
855	72257	12155
856	72352	12072
857	72444	11989
858	72542	11907
859	72623	11822
860	72711	11738
861	72799	11654
862	72889	11571
863	72975	11486
864	73054	11401
865	73141	11317
866	73230	11233
867	73310	11148
868	73383	11062
869	73451	10975
870	73530	10890
871	73604	10804
872	73675	10718
873	73752	10632
874	73829	10547
875	73906	10461
876	73977	10375
877	74050	10289
878	74123	10203
879	74196	10117
880	74277	10032
881	74342	9946
882	74412	9859
883	74480	9773
884	74555	9688
885	74628	9602
886	74721	9519
887	74818	9436
888	74908	9353
889	74991	9268
890	75073	9184
891	75151	9099
892	75230	9014
893	75310	8929
894	75389	8844
895	75466	8759
896	75549	8675
897	75624	8589
898	75697	8504
899	75772	8419
900	75860	8335
901	75952	8252
902	76035	8167
903	76127	8084
904	76206	7999
905	76284	7914
906	76370	7830
907	76461	7747
908	76546	7663
909	76619	7577
910	76695	7492
911	76769	7407
912	76844	7322
913	76915	7237
914	76994	7152
915	77070	7067
916	77145	6982
917	77215	6897
918	77348	6817
919	77417	6731
920	77491	6646
921	77567	6562
922	77648	6477
923	77725	6392
924	77807	6308
925	77889	6224
926	77975	6140
927	78063	6056
928	78152	5972
929	78233	5888
930	78308	5803
931	78380	5718
932	78448	5633
933	78535	5549
934	78621	5465
935	78706	5381
936	78789	5297
937	78868	5213
938	78948	5128
939	79032	5044
